Bill,Fir Start Date,Bill Date,Accounting Date,Due Date,Total,Total Currency,Outstanding,Outstanding Currency,Country,Operator,Operator Ref ID,Call Sign,Aircraft Registration,Origin ICAO Code,Origin IATA Code,Destination ICAO Code,Destination IATA Code,Aircraft Manufacturer,Aircraft Model,Aircraft Model ICAO Code,Aircraft Model MTOW (kg),Fir Started,Fir Ended,Duration,Flight ID,Flight Segment ID,Flight Segment Observed Point Count,Flight Segment Point Count,Flight Segment Duration Seconds,Flight Duration Seconds,Flight Length Km,Flight Path Observed Point Count,Flight Path Point Count,Manually Updated,Flight Takeoff,Flight Landing,Departure Scheduled Utc,Arrival Scheduled Utc
7YN7P9MDXU,2024-09-04 00:27:00 UTC,,,,395.00,USD,395.00,USD,Somalia,ETIHAD AIRWAYS,79JEJE3VVK,ETD86B,A6BLZ,OMAA,AUH,FAOR,JNB,BOEING,BOEING Dreamliner (Srs.9),B789,254011.7272,2024-09-04 @ 00:27 UTC,2024-09-04 @ 02:16 UTC,01:49:00,2d9e7cf2-1b42-4ab3-8287-1d2086383398,ae9bae27-7686-4127-9ffd-2aee48c7e8a1,63,63,6540,27600,6739.53,251,251,false,2024-09-03 22:33:00 UTC,2024-09-04 06:13:00 UTC,,
2MXXAFPQ3V,2024-09-04 00:24:00 UTC,,,,395.00,USD,395.00,USD,Somalia,QATAR AIRWAYS COMPANY,VJRFT7T74N,QTR27C,A7BAT,HKJK,NBO,OTHH,DOH,BOEING,BOEING 777-300ER,B77W,351500.0,2024-09-04 @ 00:24 UTC,2024-09-04 @ 01:07 UTC,00:43:00,cdcc2a2a-c527-4b9f-96b9-15c69588535a,7940148f-36c9-4b8f-b42a-612427e605b1,31,31,2580,16980,4055.39,157,157,false,2024-09-03 22:40:00 UTC,2024-09-04 03:23:00 UTC,2024-09-03 22:20:00 UTC,2024-09-04 03:35:00 UTC
N4FPFTMEPQ,2024-09-04 05:03:00 UTC,,,,365.00,USD,365.00,USD,Somalia,Air Charter Express LLC,JT7D9PW9VJ,NWY9101,EX76015,OMRK,RKT,HCMF,BSA,ILYUSHIN,ILYUSHIN Il-76,IL76,170000.0,2024-09-04 @ 05:03 UTC,2024-09-04 @ 05:03 UTC,00:00:00,3890e173-dc52-4547-8a94-d044aa1de1ab,fab2ab50-0b4e-4a5d-8702-de90a5d94479,1,2,0,13787,1899.07,37,38,false,2024-09-04 04:38:00 UTC,2024-09-04 08:27:47 UTC,,
3LAMACMEMJ,2024-09-03 09:19:00 UTC,,,,40.00,USD,40.00,USD,Somalia,Safarilink Aviation Ltd,MFKJ44JT7K,5YCKY,5YSLE,,,HCMM,MGQ,CESSNA,CESSNA 208B Grand Caravan,C208,3629.0,2024-09-03 @ 09:19 UTC,2024-09-03 @ 09:55 UTC,00:36:00,b327c3b8-bb7d-479e-a1a6-d43aa6f2cc6d,f1c0d88d-7933-4cba-9690-c20826693741,41,41,2160,2160,197.34,37,37,false,2024-09-03 09:19:00 UTC,2024-09-03 09:55:00 UTC,,
DJ37H2EKVP,2024-09-04 01:30:00 UTC,,,,395.00,USD,395.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH685,ETAWP,ZSPD,PVG,HAAB,ADD,BOEING,BOEING Dreamliner (Srs.9),B789,254011.7272,2024-09-04 @ 01:30 UTC,2024-09-04 @ 01:30 UTC,00:00:00,7f84d6a6-9255-41e4-8542-9a4bc9d0ffc5,361cd919-dfbc-45cb-92c8-bb64b6aa7189,4,4,0,36180,9185.32,447,447,false,2024-09-03 16:33:00 UTC,2024-09-04 02:36:00 UTC,2024-09-03 16:20:00 UTC,2024-09-04 03:45:00 UTC
LCVMQPDZKE,2024-09-27 11:23:00 UTC,,,,345.00,USD,345.00,USD,Somalia,KENYA AIRWAYS LTD.,AK4EJKM49H,KQA2360,5YKCB,HKJK,NBO,,,BOEING,BOEING 737-800,B738,70530.0,2024-09-27 @ 11:23 UTC,2024-09-27 @ 13:01 UTC,01:38:00,3cc616ef-6e8e-445b-9948-19ea51c5dae7,f0483767-f94d-4d17-8e91-cb724d2e8ac5,52,52,5880,15300,3390.19,186,186,false,2024-09-27 10:21:00 UTC,2024-09-27 14:36:00 UTC,,
AKFEZDMUAM,2024-09-04 02:14:00 UTC,,,,395.00,USD,395.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH687,ETATJ,VIDP,DEL,HAAB,ADD,BOEING,BOEING Dreamliner (Srs.8),B788,228000.0,2024-09-04 @ 02:14 UTC,2024-09-04 @ 02:14 UTC,00:00:00,f582970a-24b4-4e53-b716-d6df0173de16,21e7aa64-bb59-4789-a3f8-898fc21796b6,2,2,0,20820,5100.08,181,181,false,2024-09-03 21:30:00 UTC,2024-09-04 03:17:00 UTC,2024-09-03 21:00:00 UTC,2024-09-04 03:30:00 UTC
H73H34FEWQ,2024-09-04 02:36:00 UTC,,,,395.00,USD,395.00,USD,Somalia,AIR FRANCE,VCUKH9C3FA,AFR642,FGSQX,LFPO,ORY,FMEE,RUN,BOEING,BOEING 777-300ER,B77W,351500.0,2024-09-04 @ 02:36 UTC,2024-09-04 @ 03:18 UTC,00:42:00,3a0f3bf7-7dc7-4d43-bad1-e1f0835ed899,7f97616c-d3d2-4ee5-8419-7dbaa830a5e1,43,43,2520,38700,9647.34,274,274,false,2024-09-03 19:24:00 UTC,2024-09-04 06:09:00 UTC,2024-09-03 19:00:00 UTC,2024-09-04 06:00:00 UTC
N9CKT7JKAM,2024-09-03 10:58:00 UTC,,,,40.00,USD,40.00,USD,Somalia,"DEPARTMENT OF THE ARMY, PRIORITY AIR TRANSPORT  (DAVISON AVIATION COMMAND) (FORT BELVOIR, VA)",UT9FC79UTN,PAT71,9400259,HCMK,KMU,,,FAIRCHILD SWEARINGEN,FAIRCHILD SWEARINGEN Merlin 23,SW4,7257.0,2024-09-03 @ 10:58 UTC,2024-09-03 @ 12:09 UTC,01:11:00,3a762efc-d264-4de2-a073-819a46262e0c,534586c1-9584-4571-9ec3-aea7d5ad6448,72,72,4260,5040,574.54,84,84,false,2024-09-03 10:58:00 UTC,2024-09-03 12:22:00 UTC,,
CXTCVW9T74,2024-09-04 01:49:00 UTC,,,,395.00,USD,395.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH645,ETASI,VHHH,HKG,HAAB,ADD,BOEING,BOEING Dreamliner (Srs.8),B788,228000.0,2024-09-04 @ 01:49 UTC,2024-09-04 @ 01:49 UTC,00:00:00,995f0eff-abe5-4c00-832d-b0488ac6b4a8,6e7f2f51-95ac-47fa-80a6-194752df43f0,4,4,0,34140,8525.4,362,362,false,2024-09-03 17:29:00 UTC,2024-09-04 02:58:00 UTC,2024-09-03 16:25:00 UTC,2024-09-04 02:25:00 UTC
YYMA4E2FAU,2024-09-04 04:48:00 UTC,,,,345.00,USD,345.00,USD,Somalia,KENYA AIRWAYS LTD.,AK4EJKM49H,KQA205,5YKYD,VABB,BOM,HKJK,NBO,BOEING,BOEING 737-800,B738,70530.0,2024-09-04 @ 04:48 UTC,2024-09-04 @ 06:26 UTC,01:38:00,8da98827-e6da-43b5-bdd5-ed4202525fdb,128db394-f89a-4af2-9917-deab19a77846,54,54,5880,20880,4719.31,225,225,false,2024-09-04 02:00:00 UTC,2024-09-04 07:48:00 UTC,2024-09-04 01:15:00 UTC,2024-09-04 07:30:00 UTC
YNAJFEJPCX,2024-09-04 04:08:00 UTC,,,,395.00,USD,395.00,USD,Somalia,KENYA AIRWAYS LTD.,AK4EJKM49H,KQA887,5YKZC,VTBS,BKK,HKJK,NBO,BOEING,BOEING Dreamliner (Srs.8),B788,228000.0,2024-09-04 @ 04:08 UTC,2024-09-04 @ 05:09 UTC,01:01:00,184641d2-d71a-4c7d-aca8-fac66da569eb,02554c93-e3b8-4d03-8d48-4ec9e8ef730e,64,64,3660,30120,7422.25,261,261,false,2024-09-03 21:39:00 UTC,2024-09-04 06:01:00 UTC,2024-09-03 18:00:00 UTC,2024-09-04 03:15:00 UTC
FPUJL4YX7C,2024-09-27 11:08:00 UTC,,,,345.00,USD,345.00,USD,Somalia,FLYDUBAI,PVM4KVPCC4,FDB620,A6FGG,HUEN,EBB,OMDB,DXB,BOEING,BOEING 737-800,B738,70530.0,2024-09-27 @ 11:08 UTC,2024-09-27 @ 11:36 UTC,00:28:00,77cb3a5d-29aa-4cda-90a0-9c56e7df4656,3c01522f-eba2-433a-8888-fe4d6d4ed2f9,30,30,1680,18840,4125.31,156,156,false,2024-09-27 08:55:00 UTC,2024-09-27 14:09:00 UTC,2024-09-27 08:30:00 UTC,2024-09-27 14:10:00 UTC
